央视频道,#genre#
CCTV10,http://39.134.58.74/PLTV/88888888/224/3221226604/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV10,http://39.134.58.74/PLTV/88888888/224/3221226904/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV10,http://39.134.58.74/PLTV/88888888/224/3221226907/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV11,http://39.134.58.74/PLTV/88888888/224/3221226958/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV11,http://39.134.58.74/PLTV/88888888/224/3221226851/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV11,http://39.134.58.74/PLTV/88888888/224/3221226558/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV12,http://39.134.58.74/PLTV/88888888/224/3221226439/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV12,http://39.134.58.74/PLTV/88888888/224/3221226606/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV12,http://39.134.58.74/PLTV/88888888/224/3221226906/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV12,http://39.134.58.74/PLTV/88888888/224/3221226913/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV12,http://39.134.58.74/PLTV/88888888/224/3221226921/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV13,http://39.134.58.74/PLTV/88888888/224/3221226481/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV13,http://39.134.58.74/PLTV/88888888/224/3221226853/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV14,http://39.134.58.74/PLTV/88888888/224/3221226464/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV14,http://39.134.58.74/PLTV/88888888/224/3221226978/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV14,http://39.134.58.74/PLTV/88888888/224/3221226974/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV14,http://39.134.58.74/PLTV/88888888/224/3221226571/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV14,http://39.134.58.74/PLTV/88888888/224/3221226908/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV15,http://39.134.58.74/PLTV/88888888/224/3221226498/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV15,http://39.134.58.74/PLTV/88888888/224/3221226855/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV15,http://39.134.58.74/PLTV/88888888/224/3221226927/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV16,http://39.134.58.74/PLTV/88888888/224/3221226773/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV16,http://39.134.58.74/PLTV/88888888/224/3221226834/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV16,http://39.134.58.74/PLTV/88888888/224/3221226910/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV17,http://39.134.58.74/PLTV/88888888/224/3221226565/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV17,http://39.134.58.74/PLTV/88888888/224/3221226567/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV17,http://39.134.58.74/PLTV/88888888/224/3221226594/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV17,http://39.134.58.74/PLTV/88888888/224/3221226613/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV17,http://39.134.58.74/PLTV/88888888/224/3221226857/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3

CCTV1,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.65.173/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.65.173/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV9,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.65.173/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/index.m3u8
CCTV12,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8
CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV3,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
CCTV3,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV8,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV13,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
